7	9	27	43	47	52
18	21	29	41	55	56
2	13	15	20	30	50
10	17	29	33	40	46
21	23	34	39	43	49
1	18	22	35	36	56
1	2	8	11	42	54
13	18	32	33	40	46
5	11	22	31	32	53
25	35	43	45	48	50
3	6	7	22	32	51
8	15	23	26	35	52
4	7	21	52	55	56
2	3	32	46	49	55
20	35	38	42	46	55
12	13	14	15	25	30
22	23	36	37	45	50
1	6	18	29	31	47
6	7	9	21	33	37
13	27	29	33	41	45
21	23	29	31	40	56
1	11	13	20	41	49
10	12	18	21	44	55
29	32	34	42	45	51
23	25	33	41	44	51
1	2	11	31	35	54
19	21	36	38	42	51
21	28	33	39	51	52
4	20	21	22	45	47
1	15	22	36	39	49
1	10	28	33	38	54
6	26	34	40	42	52
16	19	21	27	29	37
10	13	26	31	36	53
6	9	16	17	27	29
18	40	44	49	51	54
2	17	20	26	46	50
3	10	13	22	29	30
2	23	24	28	50	53
9	17	29	37	49	50
6	13	16	27	29	55
5	6	12	21	53	55
15	17	26	31	37	42
8	12	13	28	34	48
13	18	22	33	43	53
5	10	14	24	49	54
20	46	50	53	54	55
29	37	40	44	53	54
6	7	8	25	26	40
10	11	14	23	24	38
11	28	41	44	47	55
3	8	10	11	14	56
29	36	38	39	42	49
5	20	35	48	53	56
10	14	34	37	42	54
4	5	34	38	46	55
15	16	40	41	51	52
21	27	40	44	45	53
3	18	19	45	49	50
3	8	19	25	34	51
1	3	8	17	36	41
22	27	42	48	53	55
12	17	18	37	44	50
6	21	23	26	35	53
13	22	28	33	34	50
1	5	14	23	24	54
2	9	11	17	27	42
9	11	22	36	47	49
3	7	13	32	40	41
1	9	17	18	35	47
14	15	32	50	53	55
2	4	35	44	54	56
1	21	24	26	29	33
5	17	18	23	29	30
1	9	26	41	47	53
8	33	36	37	52	56
6	27	38	45	53	54
10	24	34	44	47	53
6	8	18	32	43	51
2	33	36	39	44	52
28	32	34	43	49	55
5	14	22	34	35	41
12	20	25	35	41	43
5	10	17	42	47	54
18	19	27	47	53	56
3	10	14	30	45	56
11	12	21	30	39	41
4	5	14	18	54	55
24	33	35	38	49	52
11	13	18	25	27	56
1	6	10	14	30	53
6	9	18	33	35	48
13	16	19	20	21	32
11	13	19	31	42	46
15	22	24	29	31	50
2	3	6	29	33	44
17	24	26	32	34	40
8	17	31	46	47	54
1	2	17	20	36	56
1	5	15	32	33	36
2	24	26	31	48	50
10	15	31	37	51	56
2	9	11	36	49	56
7	8	24	25	37	55
16	24	37	38	47	52
5	13	18	22	30	43
2	4	16	24	31	40
8	25	32	46	49	56
20	23	37	39	41	56
7	14	30	49	51	55
11	15	34	41	44	50
5	8	11	20	25	41
4	7	17	29	31	51
14	32	33	36	39	40
15	21	28	35	40	48
4	6	13	15	17	29
1	5	31	46	52	56
1	8	20	29	37	44
5	12	14	17	41	46
7	11	13	15	47	51
6	15	18	20	38	43
2	7	9	25	32	41
5	16	23	24	33	47
1	13	22	32	36	53
6	22	24	27	41	45
1	3	13	33	39	51
12	19	21	24	41	42
8	16	21	36	48	51
3	6	32	36	42	45
23	28	32	34	37	38
26	32	38	41	55	56
3	7	14	18	33	44
10	20	23	24	40	49
3	22	24	37	39	42
1	6	12	18	22	33
1	3	26	48	49	51
23	24	26	32	35	54
12	13	28	33	34	51
29	32	38	39	51	54
20	22	39	51	52	54
6	10	29	47	55	56
8	9	17	32	34	48
13	21	35	36	44	47
12	14	24	34	49	50
19	39	43	49	50	52
8	21	33	43	44	50
3	26	29	37	51	54
7	24	26	49	51	54
6	13	15	22	40	41
2	3	5	11	47	48
4	20	37	43	54	55
1	5	17	31	42	46
7	14	38	44	46	49
26	28	35	40	41	49
14	23	43	44	45	56
2	6	10	14	27	45
12	15	22	34	36	48
4	10	13	17	28	29
13	23	27	32	49	52
1	11	14	23	46	49
4	7	18	19	20	37
10	14	15	23	49	52
15	27	30	38	44	55
4	22	28	38	49	51
3	14	19	25	39	50
1	6	36	42	44	45
2	5	15	17	44	55
9	17	18	31	41	54
6	11	25	38	50	53
1	6	27	31	37	48
5	18	25	35	39	48
15	17	18	28	30	40
2	4	21	25	33	46
12	15	25	32	34	50
24	31	44	47	54	56
6	10	30	31	34	36
1	13	42	45	50	53
18	22	23	33	52	54
5	9	26	39	40	43
13	18	22	29	33	50
1	3	14	26	29	32
9	16	19	33	46	50
7	10	37	45	54	55
22	24	25	31	32	56
4	17	30	36	42	53
9	25	27	30	31	41
5	26	38	48	50	54
6	17	21	26	41	51
11	13	25	27	48	53
9	37	40	42	50	55
3	8	32	37	39	43
11	15	28	31	39	50
1	5	15	18	24	54
7	16	18	24	46	54
1	11	20	38	41	43
1	3	5	53	54	56
16	18	34	42	47	55
3	30	42	49	50	51
3	7	10	28	34	43
1	5	24	29	30	46
1	12	14	31	34	56
5	29	30	34	36	50
3	8	31	32	52	54
3	14	16	21	32	54
4	19	36	39	40	53
4	15	16	21	35	56
9	19	22	24	30	34
37	38	42	48	49	50
8	14	32	40	43	45
13	14	19	27	35	54
1	22	30	36	45	52
5	11	28	35	38	42
5	12	21	27	43	49
11	16	28	38	39	53
16	26	27	30	41	54
2	8	11	18	25	56
9	17	29	52	54	56
17	21	27	42	50	52
11	12	23	25	41	44
8	15	17	35	39	45
12	23	39	45	54	56
1	8	19	35	37	43
17	18	24	34	41	50
9	17	43	46	48	53
5	21	23	41	43	56
13	19	24	39	40	46
12	15	16	18	39	47
11	19	24	26	33	56
5	6	10	15	28	52
3	11	14	18	38	47
3	6	12	21	43	51
3	6	9	16	25	42
15	22	35	44	50	53
